TIME:	72000
-180.0  70.0     0.9239     0.1435     1.0216     0.0494     0.1232     0.0277
-178.0  70.0     0.9532     0.0896     0.8145     0.0956     0.1141     0.0257
-170.0  74.0     1.2329     0.3986     1.1060     0.3536     0.0914     0.0356
-168.0  74.0     1.3033     0.1525     1.2655     0.1553     0.0866     0.0468
-166.0  70.0     0.4944     0.0768     0.4394     0.0325     0.1036     0.0442
-164.0  62.0     1.0969     0.2348     1.3637     0.1828     0.1373     0.0602
-164.0  68.0     0.6664     0.0960     0.8201     0.0578     0.0552     0.0116
-164.0  70.0     0.5272     0.0647     0.4628     0.0432     0.0850     0.0185
-162.0  62.0     1.1551     0.0087     1.1436     0.0834     0.1022     0.0204
-162.0  64.0     0.7854     0.0816     0.9243     0.1110     0.1260     0.0419
-158.0  78.0     0.8919     0.1561     1.0448     0.2252     0.1627     0.1437
-156.0  78.0     1.0053     0.0989     0.8962     0.1818     0.1427     0.0662
-152.0  56.0     1.1628     0.1344     2.1251     0.2739     0.0813     0.0263
-152.0  58.0     1.2326     0.1096     2.0936     0.3298     0.1225     0.0402
-152.0  70.0     0.4352     0.0548     0.6139     0.0536     0.0833     0.0381
-144.0  54.0     0.5488     0.0300     0.2362     0.0200     0.1065     0.0312
-144.0  56.0     0.6339     0.0784     0.2061     0.0202     0.0937     0.0620
-144.0  60.0     0.3530     0.0650     0.1419     0.0146     0.0380     0.0248
-144.0  62.0     0.5700     0.1933     0.5403     0.3079     0.0311     0.0060
-144.0  68.0     0.7471     0.1078     0.4369     0.0904     0.0627     0.0217
-142.0  52.0     0.7114     0.1361     0.2652     0.0476     0.0961     0.0391
-142.0  58.0     0.4040     0.0463     0.5631     0.1822     0.0445     0.0145
-142.0  60.0     0.4077     0.1257     0.1755     0.0111     0.0393     0.0100
-142.0  70.0     0.8396     0.0067     0.3873     0.0193     0.0525     0.0105
-142.0  74.0     1.1880     0.1164     1.7209     0.1355     0.1889     0.0266
-140.0  70.0     0.7504     0.1126     0.8680     0.0088     0.1348     0.0564
-140.0  74.0     1.1896     0.1940     1.4844     0.4002     0.1788     0.0892
-138.0  60.0     0.3087     0.0276     0.3912     0.0402     0.0347     0.0094
-138.0  70.0     0.6430     0.0722     0.7802     0.1837     0.0943     0.0299
-138.0  76.0     1.5225     0.1973     1.3924     0.2041     0.2178     0.0492
-134.0  60.0     0.1931     0.0225     0.1123     0.0060     0.0217     0.0025
-132.0  56.0     1.6791     0.4627     1.1158     0.1817     0.1260     0.0664
-132.0  60.0     0.3200     0.0311     0.4458     0.0410     0.0334     0.0087
-128.0  58.0     0.3775     0.0474     0.1237     0.0137     0.0444     0.0111
-128.0  64.0     0.6965     0.0480     1.0773     0.1266     0.0442     0.0132
-126.0  52.0     0.5887     0.0410     0.2904     0.0567     0.0844     0.0345
-126.0  54.0     0.7237     0.0992     0.2583     0.0107     0.0505     0.0153
-126.0  58.0     0.5327     0.0480     0.8452     0.1043     0.0498     0.0124
-126.0  62.0     0.6319     0.1348     0.6760     0.2871     0.0619     0.0242
-126.0  64.0     0.7736     0.1189     0.6876     0.0351     0.0754     0.0157
-124.0  64.0     0.8113     0.1900     0.5595     0.2694     0.0731     0.0167
-122.0  64.0     0.9362     0.1246     0.3414     0.0468     0.0740     0.0328
-116.0  60.0     0.3516     0.0860     0.3351     0.0775     0.0470     0.0141
-116.0  70.0     1.4225     0.2698     1.2182     0.1151     0.1091     0.0215
-116.0  72.0     1.5543     0.1357     1.3318     0.1760     0.1069     0.0263
-112.0  54.0     0.7601     0.0592     1.0863     0.2009     0.0952     0.0234
-110.0  54.0     0.9711     0.1871     1.1357     0.1929     0.1426     0.0693
-110.0  60.0     0.5386     0.1435     0.5186     0.1645     0.0584     0.0226
-108.0  60.0     0.7871     0.1409     0.6351     0.0180     0.0693     0.0297
-108.0  62.0     0.5742     0.0498     0.9037     0.1044     0.0438     0.0069
-106.0  62.0     0.7723     0.0856     0.4842     0.2657     0.0725     0.0138
-106.0  64.0     0.7716     0.1780     0.3789     0.2148     0.0716     0.0300
-104.0  64.0     1.0277     0.1051     0.7298     0.0844     0.0797     0.0299
-104.0  68.0     2.3125     0.0713     1.5312     0.0218     0.1083     0.0424
-102.0  -2.0     0.7215     0.0793     0.4056     0.0498     0.1024     0.0346
-102.0   0.0     0.7804     0.1004     0.4922     0.0199     0.0668     0.0571
-102.0  68.0     2.2654     0.4178     1.4880     0.2658     0.1286     0.0380
 -96.0  -8.0     0.5738     0.0755     0.2621     0.0244     0.0640     0.0382
 -96.0  52.0     0.4033     0.0761     0.1845     0.0254     0.0752     0.0315
 -96.0  58.0     0.2770     0.0302     0.1668     0.0292     0.0243     0.0065
 -94.0  -6.0     0.5197     0.0778     0.1875     0.0262     0.0610     0.0459
 -94.0   6.0     0.5279     0.0538     0.5609     0.0244     0.0615     0.0499
 -94.0  56.0     0.4255     0.0187     0.1981     0.0349     0.0352     0.0020
 -92.0  -2.0     0.2790     0.0333     0.1562     0.0180     0.0000     0.0000
 -92.0  56.0     0.4920     0.0810     0.3321     0.1215     0.0276     0.0052
 -92.0  68.0     1.6775     0.1109     0.7822     0.1320     0.1154     0.0496
 -90.0  -8.0     0.5935     0.1629     0.2139     0.0250     0.0426     0.0408
 -90.0   2.0     0.3277     0.0217     0.1551     0.0168     0.0243     0.0384
 -90.0  58.0     0.4209     0.0549     0.2046     0.0250     0.0290     0.0154
 -90.0  68.0     1.9692     0.4286     0.8869     0.5202     0.1410     0.0364
 -88.0  -4.0     0.3358     0.0290     0.1534     0.0134     0.0421     0.0453
 -88.0  58.0     0.7457     0.1418     0.2251     0.0483     0.0361     0.0137
 -88.0  68.0     1.9228     0.2768     0.9109     0.0560     0.0781     0.0113
 -86.0   6.0     0.7193     0.1303     1.1523     0.2404     0.0615     0.0376
 -84.0  64.0     2.0126     0.3302     1.3137     0.3021     0.0641     0.0177
 -82.0  -4.0     0.8566     0.1404     1.4465     0.2154     0.0799     0.0358
 -82.0  62.0     1.4079     0.2664     0.9599     0.2735     0.0650     0.0350
 -82.0  64.0     1.9910     0.1588     1.4449     0.1089     0.0381     0.0102
 -80.0  70.0     1.3628     0.1719     0.7593     0.1901     0.1628     0.0407
 -78.0 -70.0     0.6660     0.1237     0.5192     0.0290     0.0904     0.0491
 -78.0  54.0     1.1584     0.2146     0.4229     0.0913     0.1661     0.0445
 -78.0  56.0     0.9030     0.0813     0.3700     0.0689     0.1737     0.0327
 -78.0  58.0     0.7875     0.0268     0.9370     0.1144     0.0552     0.0209
 -76.0 -70.0     0.6270     0.0799     0.6143     0.1007     0.1389     0.0295
 -76.0  58.0     0.7612     0.1771     1.0686     0.1691     0.0469     0.0155
 -74.0 -70.0     0.6481     0.0216     0.7794     0.3366     0.1159     0.0178
 -74.0 -30.0     1.0506     0.2647     0.6916     0.1426     0.2311     0.0537
 -74.0  58.0     1.0712     0.0092     0.7871     0.0706     0.0766     0.0234
 -74.0  62.0     0.7379     0.2831     0.5314     0.2310     0.1213     0.0149
 -70.0 -66.0     0.4176     0.0202     0.2572     0.0233     0.0430     0.0488
 -70.0 -64.0     0.7046     0.3056     0.5518     0.2712     0.1032     0.0179
 -70.0 -28.0     0.7466     0.1812     0.5311     0.1588     0.1607     0.0349
 -70.0 -24.0     0.5929     0.1091     0.4842     0.0428     0.1430     0.0378
 -70.0 -22.0     0.7279     0.2149     0.6410     0.2343     0.1904     0.0747
 -70.0 -12.0     1.4906     0.4559     0.6855     0.1276     0.1359     0.0406
 -70.0  60.0     1.8227     1.2299     1.6887     1.2423     0.1184     0.0174
 -68.0 -70.0     0.7628     0.0680     0.7913     0.0907     0.1082     0.0591
 -68.0 -64.0     0.8711     0.2759     0.7515     0.1753     0.0754     0.0474
 -68.0 -28.0     0.4224     0.0145     0.2597     0.0325     0.0670     0.0090
 -68.0 -20.0     0.8723     0.1291     1.4847     0.2260     0.1865     0.0758
 -68.0 -18.0     0.9469     0.1934     0.6425     0.2465     0.1654     0.0457
 -68.0  -4.0     0.6898     0.0842     0.3893     0.0426     0.1041     0.0205
 -66.0 -64.0     0.4500     0.1109     0.4076     0.1612     0.0616     0.0463
 -66.0 -28.0     0.4534     0.1243     0.4398     0.1802     0.0767     0.0150
 -66.0 -26.0     0.3481     0.0610     0.2280     0.0397     0.0827     0.0265
 -66.0 -10.0     0.8607     0.1281     0.4697     0.0577     0.1298     0.0353
 -66.0  -4.0     0.6865     0.1115     0.4673     0.0691     0.0906     0.0094
 -66.0  -2.0     0.7933     0.1475     0.4611     0.0638     0.0995     0.0188
 -66.0  62.0     1.3842     0.8452     1.1055     0.8556     0.1131     0.0156
 -64.0 -10.0     0.8249     0.0240     0.4383     0.0381     0.1013     0.0380
 -64.0  -6.0     0.6387     0.0530     0.4769     0.0393     0.0707     0.0128
 -64.0  62.0     1.3973     0.7379     1.0302     0.7851     0.1086     0.0160
 -62.0 -26.0     0.5492     0.0885     0.3346     0.0272     0.1079     0.0129
 -62.0 -24.0     0.5661     0.1030     0.4144     0.1197     0.1172     0.0345
 -62.0  -6.0     0.6367     0.0834     0.4883     0.0521     0.1027     0.0152
 -62.0   0.0     1.2137     0.2518     1.1912     0.1397     0.0959     0.0167
 -62.0   2.0     1.1517     0.2304     1.4274     0.0842     0.0988     0.0173
 -60.0 -64.0     0.4774     0.1813     0.3374     0.2135     0.0934     0.0289
 -60.0 -60.0     0.5453     0.1036     0.3450     0.1949     0.0759     0.0517
 -60.0 -30.0     1.3398     0.2425     0.7348     0.1513     0.2751     0.0837
 -60.0 -28.0     1.8204     0.2253     0.8931     0.1603     0.3332     0.0825
 -60.0  -6.0     0.7191     0.0870     0.4642     0.0622     0.0993     0.0082
 -60.0   2.0     1.2753     0.1276     0.6052     0.0559     0.1222     0.0347
 -60.0  64.0     0.9341     0.4701     0.6126     0.4941     0.1576     0.0286
 -60.0  68.0     1.3126     0.4747     0.6524     0.3108     0.1489     0.0258
 -58.0 -64.0     0.4037     0.0919     0.3700     0.0355     0.0070     0.0148
 -58.0   0.0     1.2629     0.3070     1.6069     0.2282     0.1213     0.0315
 -58.0   4.0     0.3438     0.0558     0.1590     0.0119     0.0445     0.0118
 -58.0  60.0     1.5815     0.9645     0.7622     0.4979     0.1885     0.0523
 -56.0 -12.0     1.4479     0.1491     0.8378     0.1330     0.0912     0.0204
 -56.0  -4.0     0.5806     0.1444     0.3009     0.0588     0.0821     0.0231
 -56.0   6.0     0.3290     0.0354     0.1487     0.0200     0.0547     0.0292
 -56.0  10.0     0.5079     0.0521     0.8341     0.0681     0.0685     0.0328
 -54.0  -4.0     0.4552     0.0467     0.8400     0.0873     0.0555     0.0118
 -54.0   2.0     0.3392     0.0402     0.1569     0.0189     0.0678     0.0328
 -54.0   4.0     0.3718     0.0442     0.3892     0.0234     0.0398     0.0096
 -54.0   6.0     0.3527     0.0462     0.4138     0.0508     0.0383     0.0126
 -54.0   8.0     0.4139     0.0856     0.2037     0.0194     0.0287     0.0069
 -52.0 -66.0     0.4286     0.0944     0.4064     0.1017     0.0790     0.0438
 -52.0 -64.0     0.4441     0.1310     0.3264     0.2240     0.0603     0.0531
 -52.0 -60.0     0.4766     0.1006     0.5399     0.1305     0.0690     0.0506
 -52.0 -58.0     0.5962     0.0609     0.4017     0.0473     0.0896     0.0645
 -52.0   2.0     0.3042     0.0534     0.3236     0.1441     0.0467     0.0186
 -52.0   8.0     0.5547     0.1805     0.1942     0.0362     0.0410     0.0124
 -50.0 -72.0     1.2989     0.2081     1.6557     0.2829     0.2402     0.0616
 -50.0 -66.0     0.6556     0.2333     0.4723     0.2321     0.0814     0.0557
 -50.0 -62.0     0.4399     0.0749     0.5294     0.0541     0.0000     0.0000
 -50.0 -58.0     0.5173     0.0140     0.3715     0.0190     0.0998     0.0064
 -50.0   6.0     0.3770     0.0492     0.2326     0.0236     0.0422     0.0144
 -50.0  10.0     0.4765     0.0724     0.8352     0.0873     0.0410     0.0083
