TIME:	7200
-180.0  74.0     0.1612     0.0236     0.0030     0.0003
-170.0  70.0     0.0410     0.0063     0.0011     0.0001
-168.0  70.0     0.0472     0.0146     0.0011     0.0002
-168.0  72.0     0.1525     0.0299     0.0023     0.0003
-166.0  62.0     0.0432     0.0064     0.0024     0.0000
-164.0  62.0     0.0421     0.0058     0.0026     0.0003
-156.0  66.0     0.0454     0.0090     0.0015     0.0002
-154.0  64.0     0.0572     0.0130     0.0021     0.0003
-154.0  68.0     0.0634     0.0101     0.0041     0.0004
-154.0  76.0     0.0659     0.0045     0.0014     0.0002
-152.0  66.0     0.0646     0.0077     0.0040     0.0004
-152.0  76.0     0.0632     0.0025     0.0019     0.0001
-148.0  62.0     0.0320     0.0060     0.0010     0.0002
-146.0  54.0     0.0311     0.0054     0.0014     0.0002
-146.0  64.0     0.0421     0.0102     0.0014     0.0003
-146.0  70.0     0.0855     0.0313     0.0019     0.0002
-144.0  66.0     0.1589     0.0389     0.0026     0.0004
-142.0  56.0     0.0229     0.0018     0.0016     0.0002
-142.0  66.0     0.1643     0.0175     0.0027     0.0001
-140.0  60.0     0.0327     0.0085     0.0011     0.0001
-140.0  72.0     0.0333     0.0046     0.0013     0.0002
-138.0  56.0     0.0189     0.0037     0.0008     0.0003
-138.0  58.0     0.0166     0.0019     0.0008     0.0003
-138.0  72.0     0.0291     0.0019     0.0011     0.0001
-136.0  58.0     0.0558     0.0071     0.0013     0.0003
-136.0  60.0     0.0663     0.0131     0.0011     0.0001
-136.0  76.0     0.0594     0.0047     0.0022     0.0004
-134.0  56.0     0.0917     0.0072     0.0037     0.0003
-134.0  76.0     0.0556     0.0071     0.0022     0.0004
-132.0  56.0     0.0204     0.0059     0.0006     0.0002
-132.0  66.0     0.0981     0.0134     0.0029     0.0005
-130.0  58.0     0.0584     0.0055     0.0019     0.0001
-130.0  60.0     0.0532     0.0116     0.0017     0.0003
-128.0  62.0     0.0589     0.0120     0.0018     0.0002
-128.0  68.0     0.0849     0.0304     0.0027     0.0011
-126.0  62.0     0.0593     0.0151     0.0020     0.0004
-126.0  68.0     0.0934     0.0262     0.0030     0.0009
-122.0  56.0     0.0724     0.0308     0.0022     0.0004
-122.0  58.0     0.0877     0.0221     0.0019     0.0003
-120.0  64.0     0.0528     0.0110     0.0017     0.0003
-118.0  62.0     0.0660     0.0099     0.0036     0.0003
-116.0  62.0     0.0698     0.0090     0.0038     0.0003
-114.0  58.0     0.1114     0.0335     0.0013     0.0002
-112.0  60.0     0.0303     0.0060     0.0009     0.0001
-108.0  62.0     0.0317     0.0055     0.0009     0.0001
-106.0  54.0     0.0422     0.0090     0.0015     0.0004
-106.0  56.0     0.0426     0.0005     0.0014     0.0001
-106.0  66.0     0.0641     0.0120     0.0021     0.0004
-104.0  56.0     0.0382     0.0044     0.0013     0.0002
-104.0  62.0     0.0641     0.0089     0.0021     0.0002
-104.0  64.0     0.0634     0.0024     0.0022     0.0002
-104.0  68.0     0.0691     0.0121     0.0026     0.0002
-102.0  68.0     0.0715     0.0122     0.0035     0.0010
